state,population_density,latitude,longitude
Alabama,97.2,32.6014,-86.6803
Alaska,1.3,61.2882,-149.8472
Arizona,66.1,34.0489,-111.0937
Arkansas,59.8,34.7998,-92.1994
California,253.2,36.7783,-119.4179
Colorado,54.2,39.5501,-105.7821
Connecticut,741.4,41.5978,-72.7554
Delaware,484.7,38.9896,-75.505
Florida,414.6,27.7663,-81.6868
Georgia,179.9,33.0406,-83.6431
Hawaii,214.1,21.0943,-157.4983
Idaho,22.1,44.2405,-114.4788
Illinois,230.6,40.3495,-88.9861
Indiana,185,39.8494,-86.2582
Iowa,54.5,42.0115,-93.2105
Kansas,35.6,38.5266,-96.7265
Kentucky,110.7,37.6681,-84.6701
Louisiana,104.9,31.1695,-91.8678
Maine,43.1,44.6939,-69.3819
Maryland,594.3,39.0639,-76.8021
Massachusetts,839.4,42.2302,-71.5301
Michigan,176.5,43.3266,-84.5361
Minnesota,71.1,45.6945,-93.9002
Mississippi,63.2,32.7416,-89.6787
Missouri,88.4,38.4561,-92.2884
Montana,7.4,46.9219,-110.4544
Nebraska,23.8,41.1254,-98.2681
Nevada,28.1,38.3135,-117.0554
New Hampshire,153.9,43.4525,-71.5639
New Jersey,1215.6,40.2989,-74.521
New Mexico,17.2,34.8405,-106.2485
New York,421.7,42.1657,-74.9481
North Carolina,206.2,35.6301,-79.8064
North Dakota,10.9,47.5289,-99.784
Ohio,287.5,40.3888,-82.7649
Oklahoma,57.2,35.5653,-96.9289
Oregon,43.3,44.572,-122.0709
Pennsylvania,284.3,40.5908,-77.2098
Rhode Island,1026.8,41.6809,-71.5118
South Carolina,173.9,33.8569,-80
